Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2020);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
355;17700155034;"Natural Product Communications";journal;"15559475, 1934578X";0,221;Q4;44;298;1227;10937;1128;1205;0,96;36,70;United States;Northern America;"Sage Publications";"2006-2020";"Complementary and Alternative Medicine (Q3); Drug Discovery (Q4); Medicine (miscellaneous) (Q4); Pharmacology (Q4); Plant Science (Q4)"
356;17308;"Telopea";journal;"03129764, 22004025";0,221;Q4;16;26;19;619;10;19;0,57;23,81;Australia;Pacific Region;"Royal Botanic Gardens";"1984, 1986, 1988-1997, 2006-2019";"Ecology, Evolution, Behavior and Systematics (Q4); Plant Science (Q4)"
357;21100205971;"Pakistan Journal of Agricultural Sciences";journal;"20760906, 05529034";0,220;Q4;20;187;343;7528;278;343;0,74;40,26;Pakistan;Asiatic Region;"Pakistan Association of Advancement in Agricultural Sciences";"2011-2020";"Agronomy and Crop Science (Q3); Food Science (Q3); Plant Science (Q4); Soil Science (Q4)"
358;20100195028;"International Journal of Plant Biology";journal;"20370164, 20370156";0,219;Q4;10;7;26;257;26;26;0,74;36,71;Italy;Western Europe;"PagePress Publications";"2010-2020";"Plant Science (Q4)"
359;19200156945;"Boletin Latinoamericano y del Caribe de Plantas Medicinales y Aromaticas";journal;"07177917";0,218;Q4;21;45;125;2812;120;125;0,95;62,49;Chile;Latin America;"Universidad de Santiago de Chile";"2008-2020";"Complementary and Alternative Medicine (Q3); Drug Discovery (Q4); Pharmacology (Q4); Plant Science (Q4)"
360;21100390160;"Journal of Biological Research (Italy)";journal;"18268838, 22840230";0,218;Q4;6;23;56;910;49;56;0,86;39,57;Italy;Western Europe;"PagePress Publications";"2011-2020";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Biochemistry (medical) (Q4); Plant Science (Q4)"
361;21100781401;"Acta Prataculturae Sinica";journal;"10045759";0,217;Q4;9;241;763;8938;398;763;0,57;37,09;China;Asiatic Region;"Editorial Department of Acta Prataculturae Sinica";"2016-2020";"Agronomy and Crop Science (Q3); Nature and Landscape Conservation (Q3); Plant Science (Q4); Soil Science (Q4)"
362;21100831466;"Revista de Ciencias Agroveterinarias";journal;"22381171, 16769732";0,215;Q4;4;71;212;2008;89;207;0,41;28,28;Brazil;Latin America;"Universidade Federal de Santa Catarina";"2017-2020";"Agronomy and Crop Science (Q3); Food Science (Q3); Veterinary (miscellaneous) (Q3); Animal Science and Zoology (Q4); Plant Science (Q4); Soil Science (Q4)"
363;21100370876;"Annali di Botanica";journal;"22393129, 03650812";0,214;Q4;18;9;26;390;27;26;0,89;43,33;Italy;Western Europe;"Department of Environmental Biology, University La Sapienza of Rome";"1996-2000, 2002-2008, 2011-2020";"Plant Science (Q4)"
364;21100904334;"Natural Volatiles and Essential Oils";journal;"21489637";0,212;Q4;3;18;31;604;20;31;0,65;33,56;Turkey;Middle East;"Badebio Biotechnololgy Ltd";"2018-2020";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q3); Plant Science (Q4)"
365;4900152714;"USDA Forest Service - Research Papers PNW-RP";journal;"08825165";0,212;Q4;4;2;6;91;6;6;1,25;45,50;United States;Northern America;"USDA Forest Service";"2005-2020";"Forestry (Q3); Ecology (Q4); Plant Science (Q4)"
366;19800188009;"Iheringia - Serie Botanica";journal;"00734705";0,211;Q4;16;18;140;620;60;134;0,47;34,44;Brazil;Latin America;"Fundacao Zoobotanica do Rio Grande do Sul";"2004-2020";"Plant Science (Q4)"
367;21100970232;"Journal of Applied Biology and Biotechnology";journal;"2347212X";0,210;Q4;4;94;89;3477;76;89;0,85;36,99;India;Asiatic Region;"Open Science Publishers LLP Inc.";"2019-2020";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Agronomy and Crop Science (Q4); Food Science (Q4); Plant Science (Q4)"
368;21100258755;"Revista Chapingo, Serie Horticultura";journal;"20074034, 1027152X";0,210;Q4;9;14;45;467;24;45;0,48;33,36;Mexico;Latin America;"Universidad Autonoma Chapingo";"2002, 2008-2020";"Horticulture (Q3); Plant Science (Q4)"
369;19808;"Adansonia";journal;"12808571";0,207;Q4;14;17;36;440;14;36;0,21;25,88;France;Western Europe;"Museum National d'Histoire Naturelle";"2004-2020";"Plant Science (Q4)"
370;21100810659;"Botanikai Kozlemenyek";journal;"00068144, 24159662";0,207;Q4;4;14;36;711;18;36;0,52;50,79;United States;Northern America;"";"2016-2020";"Ecology, Evolution, Behavior and Systematics (Q4); Plant Science (Q4)"
371;17434;"Castanea";journal;"00087475";0,206;Q4;26;25;69;867;31;62;0,44;34,68;United States;Northern America;"Southern Appalachian Botanical Survey";"1982, 1990-2020";"Plant Science (Q4)"
372;20500195050;"Scientia Agraria";journal;"19832443, 15191125";0,206;Q4;10;0;113;0;60;113;0,36;0,00;Brazil;Latin America;"Universidade Federal do Parana";"2008-2009, 2011-2018";"Agronomy and Crop Science (Q4); Plant Science (Q4); Soil Science (Q4)"
373;21100902612;"Plant Science Today";journal;"23481900";0,204;Q4;6;85;120;3590;96;120;0,80;42,24;India;Asiatic Region;"Horizon e-Publishing Group";"2018-2020";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Ecology (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Plant Science (Q4)"
374;21100370875;"Flora Montiberica";journal;"11385952, 1988799X";0,202;Q4;7;38;145;1195;41;144;0,21;31,45;Spain;Western Europe;"";"2014-2020";"Ecology (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Plant Science (Q4)"
375;16555;"Phyton";journal;"00319457";0,202;Q4;17;85;116;4338;80;114;0,75;51,04;Argentina;Latin America;"Fundacion Romulo Raggio";"1984, 1996-2000, 2006-2020";"Biochemistry (Q4); Physiology (Q4); Plant Science (Q4)"
376;16199;"Acta Biologica Cracoviensia Series Botanica";journal;"18980295, 00015296";0,201;Q4;30;8;50;320;41;50;0,73;40,00;Poland;Eastern Europe;"Polish Academy of Sciences, Biological Commission";"1996-2020";"Plant Science (Q4)"
377;21100913137;"Asian Journal of Agriculture and Rural Development";journal;"22244433, 23041455";0,201;Q4;2;63;24;2068;18;24;0,75;32,83;United States;Northern America;"Asian Economic and Social Society";"2019-2020";"Geography, Planning and Development (Q3); Agronomy and Crop Science (Q4); Plant Science (Q4); Soil Science (Q4)"
378;21100850732;"Khimiya Rastitel'nogo Syr'ya";journal;"10295143, 10295151";0,200;Q4;6;153;375;4347;154;374;0,40;28,41;Russian Federation;Eastern Europe;"Altai State University";"2017-2018";"Biomaterials (Q4); Organic Chemistry (Q4); Plant Science (Q4)"
379;19306;"Lazaroa";journal;"19883307, 02109778";0,199;Q4;16;0;10;0;7;10;0,00;0,00;Spain;Western Europe;"Universidad Complutense de Madrid";"1981-1982, 1985, 1989, 1991-1992, 1994-2017";"Plant Science (Q4)"
380;21100780545;"Linye Kexue/Scientia Silvae Sinicae";journal;"10017488";0,199;Q4;7;252;704;9555;374;704;0,50;37,92;China;Asiatic Region;"Chinese Society of Forestry (CSF)";"2016-2020";"Forestry (Q3); Plant Science (Q4)"
381;21100828656;"Iranian Journal of Plant Physiology";journal;"23222808, 22285512";0,198;Q4;4;37;89;1545;59;89;0,69;41,76;Iran;Middle East;"Islamic Azad University";"2016-2020";"Genetics (Q4); Physiology (Q4); Plant Science (Q4)"
382;5600157612;"USDA Forest Service - General Technical Report RMRS-GTR";journal;"02775786";0,196;Q4;23;9;36;969;15;36;0,52;107,67;United States;Northern America;"USDA, Forest Service";"1998-1999, 2002-2020";"Ecology (Q4); Forestry (Q4); Plant Science (Q4)"
383;19600157003;"Tarim Bilimleri Dergisi";journal;"13007580";0,195;Q4;16;57;168;1927;125;168;0,70;33,81;Turkey;Middle East;"Ankara University";"2009-2020";"Agronomy and Crop Science (Q4); Animal Science and Zoology (Q4); Plant Science (Q4)"
384;5300152518;"Ethnobotany Research and Applications";journal;"15473465";0,192;Q4;25;71;41;4687;41;36;1,03;66,01;United States;Northern America;"University of Hawaii Press";"2007-2017, 2019-2020";"Nature and Landscape Conservation (Q3); Plant Science (Q4)"
385;37388;"Agriculture and Forestry";journal;"18006492, 05545579";0,191;Q4;4;84;47;2584;48;47;1,02;30,76;Montenegro;Eastern Europe;"University of Montenegro";"1979, 1981-1983, 1985-1986, 2019-2020";"Nature and Landscape Conservation (Q3); Agronomy and Crop Science (Q4); Food Science (Q4); Forestry (Q4); Plant Science (Q4); Soil Science (Q4)"
386;21100903779;"Bonplandia";journal;"18538460, 05240476";0,191;Q4;3;16;9;610;6;9;0,67;38,13;Argentina;Latin America;"Instituto de Botanica del Nordeste";"2019-2020";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Genetics (Q4); Plant Science (Q4)"
387;21100840444;"Contributii Botanice";journal;"00699616, 20673094";0,191;Q4;3;11;32;507;8;31;0,30;46,09;Romania;Eastern Europe;"Babes-Bolyai University, "Alexandru Borza" Botanic Garden";"2016-2019";"Ecology (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Plant Science (Q4)"
388;21100790326;"Acta Horticulturae Sinica";journal;"0513353X";0,190;Q4;9;232;973;7401;464;973;0,48;31,90;China;Asiatic Region;"Editorial Office of Horticultural Plant Journal";"2016-2020";"Horticulture (Q4); Plant Science (Q4)"
389;21100246537;"Botanica Serbica";journal;"18212638, 18212158";0,190;Q4;9;26;73;1252;40;68;0,48;48,15;Serbia;Eastern Europe;"University of Belgrade";"2013-2020";"Plant Science (Q4)"
390;145503;"Agrociencia";journal;"14053195, 25219766";0,189;Q4;22;76;246;2386;116;246;0,35;31,39;Mexico;Latin America;"Colegio de Postgraduados";"2000-2020";"Environmental Science (miscellaneous) (Q3); Agronomy and Crop Science (Q4); Animal Science and Zoology (Q4); Plant Science (Q4)"
391;11900154316;"Anales del Jardin Botanico de Madrid";journal;"02111322, 19883196";0,189;Q4;15;13;40;574;19;40;0,41;44,15;Spain;Western Europe;"CSIC Consejo Superior de Investigaciones Cientificas";"2004, 2008-2020";"Ecology, Evolution, Behavior and Systematics (Q4); Plant Science (Q4)"
392;21100888550;"Mediterranean Botany";journal;"26039109";0,189;Q4;4;14;32;846;27;30;0,84;60,43;Spain;Western Europe;"Universidad Complutense";"2018-2020";"Ecology (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Plant Science (Q4)"
393;100766;"Indian Phytopathology";journal;"0367973X, 22489800";0,187;Q4;6;104;259;3447;103;250;0,46;33,14;United States;Northern America;"Springer Nature";"1987-1988, 2016-2020";"Agronomy and Crop Science (Q4); Plant Science (Q4)"
394;16645;"Acta Phytopathologica et Entomologica Hungarica";journal;"02381249, 15882691";0,185;Q4;20;10;78;258;37;78;0,47;25,80;Hungary;Eastern Europe;"Akademiai Kiado";"1996-2019";"Insect Science (Q4); Plant Science (Q4)"
395;19700188154;"Journal of Biopesticides";journal;"22308385, 0974391X";0,184;Q4;20;22;81;700;37;81;0,39;31,82;India;Asiatic Region;"Crop Protection Research Centre";"2010-2020";"Agronomy and Crop Science (Q4); Plant Science (Q4)"
396;21100904437;"New Disease Reports";journal;"20440588";0,184;Q4;4;3;45;14;46;8;1,02;4,67;United Kingdom;Western Europe;"British Society for Plant Pathology";"2019-2020";"Agronomy and Crop Science (Q4); Health, Toxicology and Mutagenesis (Q4); Plant Science (Q4)"
397;21100826380;"Journal of Crop Protection";journal;"2251905X, 22519041";0,183;Q4;4;47;107;1780;73;107;0,83;37,87;Iran;Middle East;"Tarbiat Modares University";"2017-2020";"Agronomy and Crop Science (Q4); Plant Science (Q4)"
398;21100945960;"Journal of New Zealand Grasslands";journal;"24632872, 24632880";0,179;Q4;2;22;35;554;15;33;0,43;25,18;New Zealand;Pacific Region;"New Zealand Grassland Association";"2019";"Nature and Landscape Conservation (Q3); Agronomy and Crop Science (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Plant Science (Q4); Soil Science (Q4)"
399;21100225839;"Journal of the International Society for Southeast Asian Agricultural Sciences";journal;"08593132";0,172;Q4;8;26;92;1003;43;92;0,42;38,58;Philippines ;Asiatic Region;"International Society for Southeast Asian Agricultural Sciences";"2012-2020";"Plant Science (Q4)"
400;18599;"Gorteria: Tijdschrift voor Onderzoek aan de Wilde Flora";journal;"00172294";0,171;Q4;7;2;25;65;6;25;0,24;32,50;Netherlands;Western Europe;"National Herbarium Nederland";"1988-2020";"Plant Science (Q4)"
401;18633;"Herba Polonica";journal;"00180599";0,169;Q4;4;19;49;709;36;49;0,73;37,32;Poland;Eastern Europe;"Instytut Roslin i Przetworow Zielarskich";"1973-1979, 2018-2020";"Complementary and Alternative Medicine (Q3); Ecology, Evolution, Behavior and Systematics (Q4); Pharmacology (Q4); Plant Science (Q4)"
402;16050;"Indian Journal of Biotechnology";journal;"09725849, 09750967";0,168;Q4;36;7;182;251;79;182;0,37;35,86;India;Asiatic Region;"National Institute of Science Communication and Information Resources (NISCAIR)";"2002-2019";"Applied Microbiology and Biotechnology (Q4); Bioengineering (Q4); Biotechnology (Q4); Plant Science (Q4)"
403;21100389723;"Asian Pacific Journal of Reproduction";journal;"23050500, 23050519";0,167;Q4;17;45;147;1610;182;144;1,48;35,78;India;Asiatic Region;"Wolters Kluwer Medknow Publications";"2012-2020";"Obstetrics and Gynecology (Q3); Animal Science and Zoology (Q4); Plant Science (Q4); Reproductive Medicine (Q4); Veterinary (miscellaneous) (Q4)"
404;21100792098;"Botanica Lithuanica";journal;"2029932X, 13921665";0,167;Q4;5;0;28;0;18;28;1,00;0,00;Poland;Eastern Europe;"De Gruyter Open Ltd.";"2016-2018";"Ecology (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Plant Science (Q4)"
405;10600153327;"Plant Root";journal;"18816754";0,167;Q4;12;4;19;133;8;19;0,20;33,25;Japan;Asiatic Region;"Japanese Society for Root Research";"2008-2019";"Agronomy and Crop Science (Q4); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q4); Plant Science (Q4)"
406;24266;"US Department of Agriculture, Forest Service - Resource Bulletin";journal;"08889708";0,163;Q4;6;5;10;65;2;10;0,13;13,00;United States;Northern America;"USDA Forest Service";"1974, 1978-1997, 1999, 2001, 2004-2006, 2008-2010, 2012-2014, 2016-2020";"Ecology (Q4); Forestry (Q4); Plant Science (Q4)"
407;19400157312;"Vegetos";journal;"09704078";0,162;Q4;9;84;359;3620;113;359;0,47;43,10;India;Asiatic Region;"Society for Plant Research, Department of Botany, Bareilly College";"2008-2020";"Plant Science (Q4)"
408;21100329904;"Austrobaileya";journal;"01554131";0,161;Q4;5;14;43;142;9;40;0,23;10,14;Australia;Pacific Region;"Queensland Herbarium";"2009-2013, 2015-2017";"Plant Science (Q4)"
409;21100790117;"South-Western Journal of Horticulture, Biology and Environment";journal;"20687958, 20679874";0,161;Q4;4;5;30;149;19;30;0,32;29,80;Romania;Eastern Europe;"Editura Universitaria Craiova";"2016-2020";"Agronomy and Crop Science (Q4); Ecology (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Plant Science (Q4); Soil Science (Q4)"
410;21100980105;"Proceedings on Applied Botany, Genetics and Breeding";journal;"22278834, 26190982";0,160;Q4;2;84;74;2038;25;74;0,34;24,26;Russian Federation;Eastern Europe;"N.I.Vavilov All-Russian Institute of Plant Genetic Resources -Federal Research Center";"2019-2020";"Biochemistry (Q4); Biotechnology (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Genetics (Q4); Molecular Biology (Q4); Physiology (Q4); Plant Science (Q4)"
411;4500151536;"USDA Forest Service - Research Note PNW-RN";journal;"08877262";0,159;Q4;4;1;7;12;4;6;0,00;12,00;United States;Northern America;"USDA Forest Service";"1998-2010, 2012-2015, 2017, 2019-2020";"Ecology (Q4); Forestry (Q4); Plant Science (Q4)"
412;16809;"Bangladesh Journal of Botany";journal;"02535416";0,152;Q4;17;83;356;1835;124;356;0,35;22,11;Bangladesh;Asiatic Region;"Bangladesh Botanical Society";"1996-2001, 2003-2019";"Plant Science (Q4)"
413;17287;"Botanica Complutensis";journal;"02144565, 19882874";0,152;Q4;10;8;29;344;7;29;0,32;43,00;Spain;Western Europe;"Biblioteca de la Universidad Complutense de Madrid";"2001-2019";"Ecology, Evolution, Behavior and Systematics (Q4); Plant Science (Q4)"
414;22946;"Forest Research";journal;"10011498";0,152;Q4;14;133;414;4329;143;414;0,32;32,55;China;Asiatic Region;"Chinese Academy of Forestry";"1988-2020";"Ecology (Q4); Forestry (Q4); Plant Science (Q4)"
415;19700187701;"Indian Journal of Natural Products and Resources";journal;"09760512, 09760504";0,152;Q4;31;39;106;1374;68;106;0,55;35,23;India;Asiatic Region;"National Institute of Science Communication and Information Resources (NISCAIR)";"2006-2020";"Agronomy and Crop Science (Q4); Food Science (Q4); Plant Science (Q4)"
416;21100827932;"Rastitel'nost' Rossii";journal;"20730659";0,152;Q4;4;1;55;17;25;55;0,43;17,00;Russian Federation;Eastern Europe;"Russian Academy of Sciences, V.L. Komarov Institute of Botany";"2017-2019";"Ecology, Evolution, Behavior and Systematics (Q4); Plant Science (Q4)"
417;21100826237;"Pakistan Journal of Phytopathology";journal;"23050284, 1019763X";0,151;Q4;3;11;95;306;26;95;0,32;27,82;Pakistan;Asiatic Region;"Pakistan Phytopathological Society";"2017-2020";"Agronomy and Crop Science (Q4); Plant Science (Q4)"
418;21100819201;"Arab Journal of Plant Protection";journal;"24125407, 0255982X";0,149;Q4;2;37;99;1046;18;99;0,21;28,27;Lebanon;Middle East;"Arab Society for Plant Protection";"2017-2020";"Agronomy and Crop Science (Q4); Ecology (Q4); Horticulture (Q4); Insect Science (Q4); Plant Science (Q4)"
419;21100858121;"Bulletin of the Iraq Natural History Museum";journal;"10178678, 23119799";0,148;Q4;3;16;53;487;22;53;0,49;30,44;Iraq;Middle East;"University of Baghdad - Iraq Natural History Reseach Center and Museum";"2017-2020";"Animal Science and Zoology (Q4); Ecology (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Geology (Q4); Insect Science (Q4); Paleontology (Q4); Plant Science (Q4)"
420;21100199515;"Biopesticides International";journal;"0973483X";0,147;Q4;6;17;44;763;19;44;0,29;44,88;India;Asiatic Region;"Koul Research Foundation";"2011-2020";"Agronomy and Crop Science (Q4); Management, Monitoring, Policy and Law (Q4); Plant Science (Q4)"
421;21100432584;"New Journal of Botany";journal;"20423497, 20423489";0,147;Q4;4;0;22;0;11;17;0,00;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2015-2017";"Ecology, Evolution, Behavior and Systematics (Q4); Plant Science (Q4)"
422;19700167102;"Waldokologie Online";journal;"1867710X, 16147103";0,146;Q4;10;4;10;228;3;10;0,30;57,00;Germany;Western Europe;"Arbeitsgemeinschaft Forstliche Standorts- und Vegetationskunde (AFSV)";"2008-2011, 2013-2014, 2016, 2018";"Ecological Modeling (Q4); Ecology (Q4); Forestry (Q4); Plant Science (Q4)"
423;19791;"Muelleria";journal;"22042032, 00771813";0,144;Q4;11;0;9;0;1;9;0,17;0,00;Australia;Pacific Region;"Royal Botanic Gardens Melbourne";"1982-1983, 1985, 1991-2018";"Plant Science (Q4)"
424;21100793198;"Analele Universitatii din Oradea, Fascicula Biologie";journal;"12245119, 18447589";0,143;Q4;2;32;25;1292;10;25;0,50;40,38;Romania;Eastern Europe;"University of Oradea Publishing House";"2016-2020";"Agronomy and Crop Science (Q4); Biotechnology (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Genetics (Q4); Molecular Biology (Q4); Physiology (Q4); Plant Science (Q4)"
425;24744;"British Wildlife";journal;"09580956";0,141;Q4;17;76;266;465;8;158;0,04;6,12;United Kingdom;Western Europe;"British Wildlife Publishing";"1989-2020";"Animal Science and Zoology (Q4); Nature and Landscape Conservation (Q4); Plant Science (Q4)"
426;21100395706;"Revista de Investigaciones Agropecuarias";journal;"03258718, 16692314";0,140;Q4;5;13;127;447;27;121;0,12;34,38;Argentina;Latin America;"Instituto Nacional de Tecnologia Agropecuaria";"2014-2019";"Agronomy and Crop Science (Q4); Horticulture (Q4); Plant Science (Q4); Soil Science (Q4)"
427;4700153106;"Field Mycology";journal;"14681641";0,138;Q4;6;20;119;147;6;106;0,04;7,35;Netherlands;Western Europe;"Elsevier BV";"2006-2020";"Ecology (Q4); Plant Science (Q4)"
428;21100241676;"Bulletin Mensuel de la Societe Linneenne de Lyon";journal;"03661326";0,137;Q4;4;0;16;0;3;16;0,25;0,00;France;Western Europe;"Societe linneenne de Lyon";"2008-2018";"Animal Science and Zoology (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Insect Science (Q4); Paleontology (Q4); Plant Science (Q4)"
429;19700166604;"Journal of Applied Horticulture";journal;"09721045";0,137;Q4;10;1;97;30;36;97;0,16;30,00;India;Asiatic Region;"Society for Advancement of Horticulture";"2008-2019";"Biotechnology (Q4); Horticulture (Q4); Plant Science (Q4)"
430;21100905329;"Journal of Phytology";journal;"20756240";0,137;Q4;2;12;10;415;4;10;0,40;34,58;United Arab Emirates;Middle East;"TathQeef Scientific Publishing";"2019-2020";"Ecology, Evolution, Behavior and Systematics (Q4); Plant Science (Q4)"
431;4000151203;"Propagation of Ornamental Plants";journal;"13119109";0,135;Q4;17;17;44;599;14;44;0,21;35,24;Bulgaria;Eastern Europe;"SEJANI Ltd.";"2005-2019";"Forestry (Q4); Plant Science (Q4)"
432;9300153115;"Wulfenia";journal;"1561882X";0,135;Q4;10;2;42;76;26;42;0,51;38,00;Austria;Western Europe;"Landesmuseum Karnten";"2007-2019";"Ecology, Evolution, Behavior and Systematics (Q4); Plant Science (Q4)"
433;17519;"Indian Journal of Agricultural Biochemistry";journal;"09706399, 09744479";0,134;Q4;7;32;98;1038;14;98;0,14;32,44;India;Asiatic Region;"Indian Society of Agricultural Biochemists";"2003-2020";"Agronomy and Crop Science (Q4); Biochemistry (Q4); Plant Science (Q4)"
434;55321;"Journal of the Professional Association for Cactus Development";journal;"1938663X";0,134;Q4;17;5;24;108;16;24;0,94;21,60;United States;Northern America;"Professional Assoc. Cactus Development";"2003-2020";"Horticulture (Q4); Plant Science (Q4)"
435;21100876244;"Korean Journal of Mycology";journal;"23835249, 0253651X";0,133;Q4;3;8;102;171;14;102;0,14;21,38;South Korea;Asiatic Region;"Korean Society of Mycology";"2018-2020";"Ecology (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Plant Science (Q4)"
436;19400157208;"Nuytsia";journal;"00854417, 22002790";0,131;Q4;9;50;60;315;11;45;0,15;6,30;Australia;Pacific Region;"Western Australian Herbarium";"2009-2020";"Plant Science (Q4)"
437;21100211315;"Journal fur Kulturpflanzen";journal;"18670938, 18670911";0,130;Q4;9;68;106;2031;22;88;0,12;29,87;Germany;Western Europe;"Verlag Eugen Ulmer";"2010-2020";"Agronomy and Crop Science (Q4); Plant Science (Q4); Soil Science (Q4)"
438;5000160304;"USDA Forest Service - Resource Bulletin PNW-RB";journal;"07481284";0,130;Q4;6;0;2;0;1;2;0,50;0,00;United States;Northern America;"USDA Forest Service";"1997-1999, 2002-2012, 2014-2016, 2018-2019";"Ecology (Q4); Forestry (Q4); Plant Science (Q4)"
439;21100933991;"Italus Hortus";journal;"11273496";0,128;Q4;2;22;27;872;7;26;0,26;39,64;Italy;Western Europe;"Societa di Ortoflorofrutticoltura Italiana";"2018-2020";"Food Science (Q4); Horticulture (Q4); Plant Science (Q4)"
440;19800188074;"Medicinal Plants - International Journal of Phytomedicines and Related Industries";journal;"09754261, 09756892";0,128;Q4;10;74;163;2671;37;162;0,27;36,09;Netherlands;Western Europe;"IOS Press";"2010-2020";"Drug Discovery (Q4); Organic Chemistry (Q4); Plant Science (Q4)"
441;5100152903;"Revista Cubana de Plantas Medicinales";journal;"10284796";0,119;Q4;12;7;113;218;14;111;0,10;31,14;Cuba;Latin America;"Editorial Ciencias Medicas";"1996-1997, 1999-2002, 2005-2019";"Drug Discovery (Q4); Pharmacology (Q4); Plant Science (Q4)"
442;19200157102;"Revista de la Facultad de Agronomia";journal;"03787818, 16909763";0,117;Q4;8;62;72;1038;16;70;0,15;16,74;Venezuela;Latin America;"Universidad del Zulia";"2008-2020";"Agronomy and Crop Science (Q4); Animal Science and Zoology (Q4); Food Science (Q4); Plant Science (Q4)"
443;17600155121;"Acta Botanica Venezuelica";journal;"00845906";0,116;Q4;7;0;15;0;3;15;0,00;0,00;Venezuela;Latin America;"Universidad Central de Venezuela";"2008-2011, 2013-2018";"Plant Science (Q4)"
444;21100857119;"Travaux du Museum National d'Histoire Naturelle Grigore Antipa";journal;"22470735, 12232254";0,115;Q4;2;1;22;21;6;22;0,00;21,00;Poland;Eastern Europe;"De Gruyter Open Ltd.";"2017-2019";"Animal Science and Zoology (Q4); Ecology (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Insect Science (Q4); Plant Science (Q4)"
445;16554;"Phytomorphology: An International Journal of Plant Morphology";journal;"00319449";0,114;Q4;16;0;13;0;2;13;0,15;0,00;India;Asiatic Region;"International Society of Plant Morphologists";"1996-2013, 2015-2016, 2018";"Plant Science (Q4)"
446;24263;"USDA Forest Service - Research Papers RMRS";journal;"05025001";0,112;Q4;11;0;2;0;0;2;0,00;0,00;United States;Northern America;"USDA Forest Service";"1996-2014, 2016, 2018";"Ecology (Q4); Forestry (Q4); Plant Science (Q4)"
447;21100793179;"Indian Journal of Nematology";journal;"09744444, 03036960";0,109;Q4;2;0;133;0;13;98;0,07;0,00;India;Asiatic Region;"Nematological Society of India";"2016-2019";"Agronomy and Crop Science (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Plant Science (Q4)"
448;21100930958;"Revista del Jardin Botanico Nacional";journal;"24105546, 02535696";0,108;Q4;1;0;11;0;1;11;0,09;0,00;Cuba;Latin America;"Universidad de La Habana";"2019";"Ecology (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Plant Science (Q4)"
449;22332;"USDA Forest Service - General Technical Report PNW";journal;"08874840";0,107;Q4;18;10;11;829;1;11;0,14;82,90;United States;Northern America;"USDA Forest Service";"1996-2020";"Ecology (Q4); Forestry (Q4); Plant Science (Q4)"
450;12100157223;"Zeitschrift fur Arznei- und Gewurzpflanzen";journal;"14319292";0,107;Q4;9;0;55;0;9;48;0,06;0,00;Germany;Western Europe;"Agrimedia";"2008-2018";"Agronomy and Crop Science (Q4); Food Science (Q4); Plant Science (Q4)"
451;145354;"Journal of Plant Resources and Environment";journal;"10040978";0,106;Q4;8;58;160;500;22;160;0,15;8,62;China;Asiatic Region;"Editorial Office, Journal of Plant Resources and Environment";"2005-2020";"Ecology, Evolution, Behavior and Systematics (Q4); Physiology (Q4); Plant Science (Q4)"
452;5600152811;"USDA Forest Service - Research Note RMRS-RN";journal;"05024994";0,104;Q4;5;0;6;0;0;6;0,00;0,00;United States;Northern America;"USDA Forest Service";"1998-2002, 2004-2014, 2016-2019";"Ecology (Q4); Forestry (Q4); Plant Science (Q4)"
453;21100935005;"Rostaniha";journal;"24236608, 16084306";0,102;Q4;1;23;18;950;1;18;0,06;41,30;Iran;Middle East;"Iranian Research Institute of Plant Protection";"2019";"Ecology (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Plant Science (Q4)"
454;19206;"Journal of Bamboo and Rattan";journal;"15691586, 15691594";0,101;Q4;13;0;21;0;2;21;0,20;0,00;India;Asiatic Region;"Kerala Forestry Research Institute";"2002-2007, 2009-2010, 2014-2018";"Agronomy and Crop Science (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Horticulture (Q4); Plant Science (Q4)"
