Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2020);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
119;16516;"Phycologia";journal;"00318884, 23302968";0,731;Q2;66;59;190;2945;472;187;2,64;49,92;United States;Northern America;"Allen Press Inc.";"1981, 1983-1984, 1988-2020";"Aquatic Science (Q1); Plant Science (Q2)"
120;16900154707;"Crop and Pasture Science";journal;"18365795, 18360947";0,728;Q2;89;98;342;5771;765;337;2,20;58,89;Australia;Pacific Region;"CSIRO";"2009-2020";"Agronomy and Crop Science (Q1); Plant Science (Q2)"
121;144696;"Journal of Plant Biology";journal;"12269239";0,725;Q2;38;46;147;2602;333;147;2,18;56,57;United States;Northern America;"Springer New York";"1999, 2004-2020";"Plant Science (Q2)"
122;88509;"Weed Technology";journal;"0890037X, 15502740";0,725;Q2;67;126;327;4538;609;326;1,64;36,02;United States;Northern America;"Cambridge University Press";"1993-2001, 2003-2020";"Agronomy and Crop Science (Q1); Plant Science (Q2)"
123;19700166522;"Journal of Plant Ecology";journal;"17529921, 1752993X";0,718;Q2;38;87;254;4874;484;252;1,59;56,02;United Kingdom;Western Europe;"Oxford University Press";"2009-2020";"Ecology (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Plant Science (Q2)"
124;21100200421;"Journal of Soil Science and Plant Nutrition";journal;"07189516";0,708;Q2;39;240;251;13471;920;251;3,57;56,13;Chile;Latin America;"Sociedad Chilena de la Ciencia del Suelo";"2010-2020";"Agronomy and Crop Science (Q1); Plant Science (Q2); Soil Science (Q2)"
125;94353;"Weed Research";journal;"00431737, 13653180";0,693;Q2;74;48;137;1994;346;133;2,34;41,54;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1961-2020";"Agronomy and Crop Science (Q1); Ecology, Evolution, Behavior and Systematics (Q2); Plant Science (Q2)"
126;19184;"Journal of Applied Phycology";journal;"15735176, 09218971";0,681;Q2;108;366;978;21746;3101;975;2,95;59,42;Netherlands;Western Europe;"Springer Netherlands";"1989-2020";"Aquatic Science (Q2); Plant Science (Q2)"
127;17808;"Trees - Structure and Function";journal;"09311890, 14322285";0,677;Q2;87;121;433;7640;1001;430;2,29;63,14;Germany;Western Europe;"Springer Verlag";"1986-2020";"Forestry (Q1); Ecology (Q2); Plant Science (Q2); Physiology (Q3)"
128;52691;"Aerobiologia";journal;"03935965, 15733025";0,663;Q2;49;67;151;2709;399;150;2,18;40,43;Netherlands;Western Europe;"Springer Netherlands";"1985-2020";"Plant Science (Q2); Immunology (Q3); Immunology and Allergy (Q3)"
129;60195;"Plant Disease";journal;"01912917";0,663;Q2;108;664;2597;17065;3552;1738;1,33;25,70;United States;Northern America;"American Phytopathological Society";"1981, 1993-2020";"Agronomy and Crop Science (Q2); Plant Science (Q2)"
130;21100388318;"Plant Gene";journal;"23524073";0,658;Q2;17;51;134;2921;361;132;2,57;57,27;Netherlands;Western Europe;"Elsevier BV";"2015-2020";"Biotechnology (Q2); Plant Science (Q2); Biochemistry (Q3); Genetics (Q3)"
131;16531;"Physiological and Molecular Plant Pathology";journal;"10961178, 08855765";0,645;Q2;76;91;228;4837;567;225;2,68;53,15;United States;Northern America;"Academic Press Inc.";"1986-2020";"Plant Science (Q2); Genetics (Q3)"
132;15656;"Journal of Plant Nutrition and Soil Science";journal;"15222624, 14368730";0,644;Q2;87;68;310;3617;634;308;2,28;53,19;Germany;Western Europe;"Wiley-VCH Verlag";"1996-2020";"Plant Science (Q2); Soil Science (Q2)"
133;19700201314;"Mycology";journal;"21501211, 21501203";0,644;Q2;25;34;90;2188;272;89;3,21;64,35;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2020";"Plant Science (Q2); Infectious Diseases (Q3); Microbiology (Q3)"
134;19700181302;"Plant Ecology and Diversity";journal;"17550874, 17551668";0,644;Q2;36;27;132;2202;237;130;1,98;81,56;United Kingdom;Western Europe;"Routledge";"2008-2020";"Ecology (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Plant Science (Q2)"
135;56471;"Euphytica";journal;"15735060, 00142336";0,643;Q2;104;193;732;9934;1470;732;1,84;51,47;Netherlands;Western Europe;"Springer Netherlands";"1952-2020";"Horticulture (Q1); Agronomy and Crop Science (Q2); Plant Science (Q2); Genetics (Q3)"
